Cod Venda;NFe;NFCe;Data Venda;Data Recebimento;Nome Cliente;Valor Venda;Valor Recebido;Vr. Desconto;Tx Serviço;Operação;Tipo Operação;Caixa;Vendedor;Operador;Data Cancelamento;Operador Cancelamento;Operador Desconto;Operador Desc Repique;NRC;Comandas;Série NFCE;Série NFE;Integração;Observação;CO_CLIENTE;Atendente;IC_REVENDA
;Código;Produto;Qtde;Vr. Total;Vr. Unitário;Observação;Hora Lançamento;Computador;Operação;Atendente;CO_VENDA;IC_ITEM_CANCELADO
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 20:56:02;SERVIDOR;31;HENRIQUE;1277601;F
1277501;;9452;29/11/2022 20:06:29;29/11/2022 21:41:20;;261;261;0;23,1;30;LOCA;63701;ELVIS;CAIXA;;;;;;;1;;;;;3401;
;19;NHOQUE CAMARAO;1;59;59;;29/11/2022 20:06:29;SERVIDOR;30;ELVIS;1277501;F
;19;NHOQUE CAMARAO;1;59;59;;29/11/2022 20:06:29;SERVIDOR;30;ELVIS;1277501;F
;177;MOSCOW MULE;1;29;29;;29/11/2022 20:06:29;SERVIDOR;30;ELVIS;1277501;F
;172;NEGRONI;1;32;32;;29/11/2022 20:06:29;SERVIDOR;30;ELVIS;1277501;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 20:35:22;SERVIDOR;30;ELVIS;1277501;F
;229;COUVERT LOCA JAMPA;1;15;15;;29/11/2022 20:35:22;SERVIDOR;30;ELVIS;1277501;F
;177;MOSCOW MULE;1;29;29;;29/11/2022 20:50:28;SERVIDOR;30;ELVIS;1277501;F
;77;MOJITO;1;23;23;;29/11/2022 20:50:28;SERVIDOR;30;ELVIS;1277501;F
1277401;;9451;26/11/2022 21:35:31;26/11/2022 23:21:32;;178;178;0;15,8;2;LOCA;63601;HENRIQUE;CAIXA;;;;;;;1;;;;;3201;
;87;FAVA COM CAMARÃO;1;28;28;;26/11/2022 21:35:31;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:04:29;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:04:29;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:04:29;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:04:29;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:04:29;SERVIDOR;2;HENRIQUE;1277401;F
;73;LINGUIÇA NA CACHAÇA;1;34;34;;26/11/2022 22:25:49;SERVIDOR;2;MARCOS;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:38:08;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:38:08;SERVIDOR;2;HENRIQUE;1277401;F
;420;HEINEKEN LONG NECK;1;12;12;;26/11/2022 22:38:08;SERVIDOR;2;HENRIQUE;1277401;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:11:08;SERVIDOR;2;HENRIQUE;1277401;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:11:08;SERVIDOR;2;HENRIQUE;1277401;F
1277301;;9450;26/11/2022 21:30:32;26/11/2022 23:18:02;;402,01;402,01;0;24,46;6;LOCA;63601;MARCIO;CAIXA;;;;;;;1;;;;;1;
;246;SANGRIA LOCA SUMMER ;1;26;26;;26/11/2022 20:15:14;SERVIDOR;6;EMERSON;1277301;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;26/11/2022 20:15:14;SERVIDOR;6;EMERSON;1277301;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;26/11/2022 20:15:36;SERVIDOR;6;EMERSON;1277301;F
;246;SANGRIA LOCA SUMMER ;1;26;26;;26/11/2022 20:22:44;SERVIDOR;6;EMERSON;1277301;F
;18;LOCA BURGUER;1;38;38;;26/11/2022 21:16:53;SERVIDOR;6;HENRIQUE;1277301;F
;575;CHORIPOLVO;1;29;29;;26/11/2022 21:30:32;SERVIDOR;6;HENRIQUE;1277301;F
;97;JARRA SANGRIA LOCA SUMMER;1;55;55;;26/11/2022 21:30:32;SERVIDOR;6;HENRIQUE;1277301;F
;575;CHORIPOLVO;1;29;29;;26/11/2022 21:30:32;SERVIDOR;6;HENRIQUE;1277301;F
;188;PASTEIS QUEIJO REINO;1;22;22;;26/11/2022 21:30:33;SERVIDOR;6;HENRIQUE;1277301;F
;91;CHORIPAN LOCA SUMMER;1;27;27;;26/11/2022 21:30:33;SERVIDOR;6;HENRIQUE;1277301;F
;538;SANGRIA F.VERMELHAS;1;29;29;;26/11/2022 22:45:35;SERVIDOR;6;MARCOS;1277301;F
;538;SANGRIA F.VERMELHAS;1;29;29;;26/11/2022 22:52:21;SERVIDOR;6;HENRIQUE;1277301;F
;222;CORTESIA ANIVERS. /DRINK;1;0,01;0,01;;26/11/2022 22:52:21;SERVIDOR;6;HENRIQUE;1277301;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:04:14;SERVIDOR;6;MARCOS;1277301;F
;86;COUVERT LOCA;1;10;10;;26/11/2022 23:04:14;SERVIDOR;6;MARCOS;1277301;F
